제목,링크,요약
"‘사람처럼 판단·행동’ AI로봇 경쟁, 미래는? [9시 뉴스] / KBS  2024.03.23.",https://www.youtube.com/watch?v=RZhKnja7Kmk&pp=ygUJYWkg66-4656Y,
[자막뉴스] 일상 스며든 AI...미래 '사라질 위기' 직업은? / YTN,https://www.youtube.com/watch?v=EZNoC4jmGzg&pp=ygUJYWkg66-4656Y,"제목: ""[자막뉴스] 일상 스며든 AI...미래 '사라질 위기' 직업은? / YTN - YouTube""
이 영상은 AI가 일상 속으로 통합되고 있는 것과 이로 인한 미래 취업에 대한 잠재적인 영향을 논의합니다.
AI 기술 발전으로 인해 일부 직업이 사라질 위험에 대해 다룹니다.
이 영상은 다양한 산업에 대한 자동화의 도전과 함께 그 영향을 탐구할 것으로 예상됩니다.
기술 발전에 직면한 적응과 재교육의 필요성을 강조할 것으로 보입니다.
전반적으로, 이 영상은 AI 주도의 세상에서의 미래 직업 모습에 대해 의문을 제기합니다."
사회 곳곳에 퍼진 ‘AI’…일자리의 미래는? [친절한 뉴스K] / KBS  2023.12.29.,https://www.youtube.com/watch?v=wmxjy9NeeJo&pp=ygUJYWkg66-4656Y,
가장 먼저 사라질 직업들feat. AI 전문가 총집합,https://www.youtube.com/watch?v=p7go2GmPnYg&pp=ygUJYWkg66-4656Y,"제목: ""가장 먼저 사라질 직업들feat. AI 전문가 총집합 - YouTube""
AI 기술의 발전으로 가장 먼저 사라질 직업들에 대해 논의하는 YouTube 동영상입니다.
다양한 직업군에 대한 자동화의 영향을 논의하는 AI 전문가들의 모임이 등장합니다.
AI 능력이 계속 발전함에 따라 특정 직업들이 사라질 가능성에 대해 탐구합니다.
미래의 일자리와 신속하게 변화하는 취업 시장에서의 역량 강화와 적응의 필요성을 탐구합니다.
AI 주도 자동화가 제기하는 과제에 대해 개인과 산업이 어떻게 대응할 수 있는지에 대한 통찰력과 관점을 제공합니다."
AI 예측 ‘미래성장기술’ CES에서도 확인 / KBS  2024.01.15.,https://www.youtube.com/watch?v=rzTGa_ZElcA&pp=ygUJYWkg66-4656Y,"CES 2024에서 AI 예측이 미래 성장 기술로 확인됨
CES는 소비자 기술 산업의 선도적 전시회
AI 기술은 다양한 산업에서 혁신과 성장을 촉진
CES는 AI의 혁신적인 활용 사례를 보여주는 플랫폼 제공
KBS는 CES에서 AI의 미래성장에 대한 다양한 측면을 다룸"
과학자들이 걱정하는 인공지능이 진짜 무서운 이유 (통제를 벗어나는 순간..) ㅣ 과학을 보다,https://www.youtube.com/watch?v=XlF2FpmHIM8&pp=ygUJYWkg66-4656Y,"""과학자들이 걱정하는 인공지능이 진짜 무서운 이유 (통제를 벗어나는 순간..)""은 인공지능에 대한 과학자들의 진심된 우려를 논의하는 YouTube 동영상입니다.
이 동영상은 인공지능이 인간의 통제를 뛰어넘을 수 있는 잠재적인 위험에 대해 다룹니다.
특히 인공지능이 인간의 통제에서 벗어날 때가 특히 불안한 시나리오로 강조됩니다.
이 내용은 인공지능이 통제되지 않을 때의 위험성을 설명하기 위해 다양한 관점과 예시를 탐구할 것으로 예상됩니다.
시청자들은 인공지능 개발의 복잡성과 그 발전에 따른 윤리적 고려 사항에 대한 통찰력을 기대할 수 있습니다."
차에 치이는 순간 '점프'…날아간 여성 피해 보상 논란 / SBS / 오클릭,https://www.youtube.com/watch?v=lgEwnBZsqlI&pp=ygUJYWkg66-4656Y,"제목: ""차에 치이는 순간 '점프'…날아간 여성 피해 보상 논란 / SBS / 오클릭 - YouTube""
이 비디오는 여성이 차에 치여 날아가는 사건으로 인해 발생한 논란에 대해 논의할 것으로 보입니다.
운전자의 책임, 여성의 행동, 사고의 법적인 측면에 대한 의문을 제기합니다.
이 사건은 피해자 보상과 사고의 책임을 결정하는 복잡성에 대한 공론화를 유발했을 것으로 보입니다.
YouTube 채널 ""오클릭""에서 이에 대한 추가적인 분석이나 토론이 제공될 수 있습니다."
2030년에 나타나게 될 가장 큰 변화,https://www.youtube.com/watch?v=_F_IF00XGWM&pp=ygUJYWkg66-4656Y,"One of the biggest changes expected by 2030 is the innovation and development of YouTube.
This change is anticipated to manifest through an increase in various forms of content and modes of engagement.
YouTube will actively utilize AI technology to enhance personalized content recommendations and viewing experiences.
Interaction between creators and viewers will be strengthened, and the content ecosystem will become more diversified.
These changes will shape the future of online video platforms and are expected to have an impact on the entertainment industry as a whole."
눈동자 데굴데굴 굴리며 기자 '째려본' AI 로봇…질문 뭐였길래 / 연합뉴스 (Yonhapnews),https://www.youtube.com/watch?v=5iCxsqLXizs&pp=ygUJYWkg66-4656Y,"제목은 인공지능 로봇이 눈을 굴리면서 기자의 질문에 답하는 상황을 시사하는데, 이는 유머적이거나 예상치 못한 상호작용을 시사한다.
콘텐츠는 아마도 한국의 유명한 뉴스 기관인 연합뉴스(Yonhap News)의 비디오 또는 뉴스 세그먼트를 포함할 것으로 보이며, 인공지능 기술의 발전이나 저널리즘에의 적용에 관한 것일 것으로 예상된다.
인공지능 로봇의 눈 굴리기 행동은 아마도 기자가 던진 질문에 대한 응답을 나타내며, 로봇이 인간 상호작용을 해석하고 반응할 수 있는 능력을 시사한다.
제목이나 대본에는 직접적으로 언급되지 않은 기자의 질문은 있으나, 교환의 맥락에 대한 추론의 여지를 남긴다.
비디오나 세그먼트는 아마도 인공지능, 로봇 과학 및 저널리즘의 교차점을 탐구하며, 미디어와 의사 소통에서 인공지능의 변화하는 역할을 강조할 것으로 보인다."
AI 때문에 이 직업은 벌써 망했습니다 (이원재 경제평론가),https://www.youtube.com/watch?v=MEFzlJqPuP0&pp=ygUJYWkg66-4656Y,"제목: ""AI 때문에 이 직업은 벌써 망했습니다"" (This Profession Has Already Failed Because of AI) - YouTube
발표자: 이원재 (Lee Won-jae), 경제평론가
이 비디오는 아마도 인공지능이 다양한 직업에 미치는 영향을 논의할 것으로 보입니다.
이원재는 인공지능의 발전으로 일부 직업이 사라지게 된 배경을 탐구할 것으로 예상됩니다.
이 발표는 인공지능 주도의 자동화로 인한 노동자와 경제에 대한 영향을 탐구할 수 있습니다."
유시민 작가가 생각하는 AI 시대 @KnouTube  미래 | 정보 | 지능 | 과학의 발전 | 인문학,https://www.youtube.com/watch?v=XxEcsLl1erQ&pp=ygUJYWkg66-4656Y,"제목: ""유시민 작가가 생각하는 AI 시대 @KnouTube 미래 | 정보 | 지능 | 과학의 발전 | 인문학 - YouTube""
유시민 작가의 AI 시대에 대한 발표.
정보, 지능, 과학 발전, 인문학 등의 주제 다룸.
인공지능이 사회, 문화, 인간의 사고에 미치는 영향 탐구.
기술과 인류의 미래의 교차점에 대한 통찰 제공."
